Dung,Sample,Herbivore,No_individuals,No_A,No_V,No_comata
1,1,Horse,2,2,0,0
2,2,Horse,3,3,0,0
3,3,Horse,5,2,3,0
4,4,Horse,2,2,0,0
5,5,Horse,1,1,0,0
6,6,Horse,1,1,0,0
7,7,Horse,2,0,1,1
8,8,Horse,4,2,2,0
9,9,Horse,3,3,0,0
10,10,Horse,1,1,0,0
11,32,Horse,2,1,0,1
12,34,Horse,3,3,0,0
13,61,Horse,4,2,2,0
14,62,Horse,1,0,1,0
15,63,Horse,3,1,2,0
16,64,Horse,4,2,2,0
17,65,Horse,7,7,0,0
18,66,Horse,1,1,0,0
19,67,Horse,3,2,1,0
20,68,Horse,1,0,1,0
21,70,Horse,1,0,1,0
22,71,Sheep,1,0,1,0
23,72,Sheep,2,1,0,1
24,91,Horse,2,1,1,0
25,92,Horse,2,1,0,1
26,94,Horse,2,2,0,0
27,95,Horse,2,1,0,1
28,98,Horse,1,1,0,0
29,99,Horse,1,1,0,0
30,103,Horse,1,1,0,0
