Wa_numbers,Sampling_site,Date_collection,Herbivore,Original_culture,PCR_het-v,Mating_phenotype,Barrage,Dung,Indiv_count
Wa146,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,a,1,1
Wa147,Rijnhaven,2017-08-16,Horse,Dikaryotic,V,V,b,1,2
Wa148,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,a,2,3
Wa149,Rijnhaven,2017-08-16,Horse,Monokaryotic,n.d.,V1,b,2,4
Wa151,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,c,2,5
Wa152,Rijnhaven,2017-08-16,Horse,Monokaryotic,V1,V1,e,3,6
Wa153,Rijnhaven,2017-08-16,Horse,Dikaryotic,V,V,a,3,7
Wa154,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,d,3,8
Wa155,Rijnhaven,2017-08-16,Horse,Dikaryotic,V,V,b,3,9
Wa156,Rijnhaven,2017-08-16,Horse,Dikaryotic,V,V,c,3,10
Wa157,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,a,4,11
Wa158,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,a,4,-
Wa159,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,b,4,12
Wa161,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,-,5,13
Wa162,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,-,6,14
Wa163,Rijnhaven,2017-08-16,Horse,Dikaryotic,V,V,a,7,15
Wa164,Rijnhaven,2017-08-16,Horse,Dikaryotic,V,V,b,7,16
Wa165,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,a,8,17
Wa166,Rijnhaven,2017-08-16,Horse,Dikaryotic,V,V,b,8,18
Wa167,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,c,8,19
Wa168,Rijnhaven,2017-08-16,Horse,Dikaryotic,V,V,d,8,20
Wa169,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,a,9,21
Wa171,Rijnhaven,2017-08-16,Horse,Dikaryotic,Fail,V1,b,9,22
Wa172,Rijnhaven,2017-08-16,Horse,Dikaryotic,n.d.,V1,c,9,23
Wa173,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,-,10,24
Wa174,Rijnhaven,2017-08-23,Horse,Monokaryotic,V1,V1,a,11,25
Wa175,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,a,11,-
Wa176,Rijnhaven,2017-08-16,Horse,Dikaryotic,Fail,P. comata,,11,26
Wa177,Rijnhaven,2017-08-16,Horse,Monokaryotic,n.d.,NA,a,12,-
Wa178,Rijnhaven,2017-08-23,Horse,Dikaryotic,n.d.,V1,b,12,27
Wa179,Rijnhaven,2017-08-23,Horse,Dikaryotic,n.d.,V1,a,12,28
Wa181,Rijnhaven,2017-08-16,Horse,Dikaryotic,V1,V1,c,12,29
Wa182,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,a,13,30
Wa183,Rijnhaven,2017-08-23,Horse,Dikaryotic,V,V,b,13,31
Wa184,Rijnhaven,2017-08-23,Horse,Dikaryotic,n.d.,V,c,13,32
Wa185,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,d,13,33
Wa186,Rijnhaven,2017-08-23,Horse,Dikaryotic,V,V,a,14,34
Wa187,Rijnhaven,2017-08-23,Horse,Dikaryotic,V,V,a,14,-
Wa188,Rijnhaven,2017-08-23,Horse,Dikaryotic,Fail,V,a,15,35
Wa189,Rijnhaven,2017-08-23,Horse,Dikaryotic,V,V,b,15,36
Wa191,Rijnhaven,2017-08-23,Horse,Dikaryotic,Fail,V,a,15,-
Wa192,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,c,15,37
Wa193,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,c,15,-
Wa194,Rijnhaven,2017-08-23,Horse,Dikaryotic,n.d.,V,a,16,38
Wa195,Rijnhaven,2017-08-23,Horse,Dikaryotic,V,V,b,16,39
Wa196,Rijnhaven,2017-08-23,Horse,Dikaryotic,V,V,b,16,-
Wa197,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,c,16,40
Wa198,Rijnhaven,2017-08-23,Horse,Dikaryotic,n.d.,V1,d,16,41
Wa199,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,a,17,42
Wa201,Rijnhaven,2017-08-23,Horse,Dikaryotic,Fail,V1,b,17,43
Wa202,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,c,17,44
Wa203,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,d,17,45
Wa204,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,e,17,46
Wa205,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,f,17,47
Wa206,Rijnhaven,2017-08-23,Horse,Dikaryotic,n.d.,V1,g,17,48
Wa207,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,-,18,49
Wa208,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,a,19,50
Wa209,Rijnhaven,2017-08-23,Horse,Dikaryotic,V,V,b,19,51
Wa211,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,c,19,52
Wa212,Rijnhaven,2017-08-23,Horse,Dikaryotic,V1,V1,c,19,-
Wa213,Rijnhaven,2017-08-23,Horse,Dikaryotic,V,V,-,20,53
Wa214,Rijnhaven,2017-08-23,Horse,Dikaryotic,V,V,-,21,54
Wa215,Oranje Nassau Oord,2017-08-29,Sheep,Dikaryotic,n.d.,V,-,22,55
Wa216,Oranje Nassau Oord,2017-08-29,Sheep,Dikaryotic,Fail,NA,a,23,56
Wa217,Oranje Nassau Oord,2017-08-29,Sheep,Dikaryotic,Fail,NA,b,23,57
Wa218,Blauwe Kamer,2017-09-11,Horse,Dikaryotic,V,V,a,24,58
Wa219,Blauwe Kamer,2017-09-11,Horse,Dikaryotic,V1,V1,b,24,59
Wa221,Blauwe Kamer,2017-09-11,Horse,Dikaryotic,Fail,V1,a,25,60
Wa222,Blauwe Kamer,2017-09-11,Horse,Dikaryotic,Fail,P. comata,b,25,61
Wa223,Blauwe Kamer,2017-09-11,Horse,Dikaryotic,V1,V1,a,26,62
Wa224,Blauwe Kamer,2017-09-11,Horse,Dikaryotic,V,V,b,26,63
Wa225,Blauwe Kamer,2017-09-11,Horse,Dikaryotic,n.d.,V1,a,27,64
Wa226,Blauwe Kamer,2017-09-11,Horse,Dikaryotic,Fail,P. comata,b,27,65
Wa227,Blauwe Kamer,2017-09-11,Horse,Dikaryotic,V1,V1,-,28,66
Wa228,Blauwe Kamer,2017-09-11,Horse,Dikaryotic,n.d.,V1,-,29,67
Wa229,Blauwe Kamer,2017-09-11,Horse,Dikaryotic,Fail,V1,-,30,68
