,s,S,Wa1,Wa3,Wa4,Wa58,Wa22,Wa33,Wa56,Wa36,Wa53,Wa10,Wa11,Wa13,Wa14,Wa68,Wa16,Wa55,Wa24,Wa54,Wa52,Wa59,Wa29,Wa44,Wa42,Wa23,Wa39,Wa40,Wa41,Wa43,Wa21,Wa18,Wa45,Wa46,Wa17,Wa38,Wa28,Wa26,Wa63,Wa64,Wa47,Wa25,Wa27,Wa15,Wa8,Wa57
s,1,1,3,1,1,3,1,3,2,1,1,6,1,1,3,1,1,1,4,1,2,3,3,6,4,6,1,1,4,3,6,6,5,6,6,6,6,4,6,3,4,4,2,5,6,5
S,1,1,1,1,6,3,1,3,2,1,3,3,3,3,3,3,1,na,1,6,3,3,3,3,4,2,4,1,2,6,3,6,6,6,3,6,6,6,6,6,6,6,3,3,6,5
Wa1,6,1,1,5,6,3,5,3,1,3,3,6,6,1,3,3,1,na,1,6,na,3,1,2,4,3,5,4,na,na,6,na,6,na,3,6,1,na,3,5,6,6,5,6,6,5
Wa3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,6,3,6,1,1,2,6,3,3,6,6,6,6,6,3,6,6,5,6,1,6,6,3
Wa4,3,3,1,3,1,3,1,6,5,1,3,2,1,1,3,3,1,3,2,5,3,6,3,6,1,5,1,1,4,5,6,6,6,6,6,6,6,3,6,6,5,6,3,6,6,3
Wa58,3,6,5,6,3,1,na,na,1,3,6,na,na,1,3,3,5,3,1,6,4,3,na,3,3,na,3,3,3,6,6,na,6,6,na,6,6,na,6,6,6,6,6,6,6,6
Wa22,3,1,1,1,1,na,1,1,na,1,na,6,1,3,3,na,1,na,6,na,na,na,1,na,na,6,na,na,na,na,6,6,na,na,6,6,6,6,na,na,na,6,2,5,6,na
Wa33,3,1,2,3,2,na,1,1,na,3,na,3,1,1,2,na,1,na,3,na,na,na,3,na,na,3,na,na,na,na,6,6,na,na,6,6,6,6,na,na,na,3,6,6,6,na
Wa56,3,1,3,3,5,1,na,na,1,na,1,na,na,1,1,na,1,3,1,1,2,1,1,2,4,na,6,5,3,3,5,na,6,6,na,6,5,na,na,na,5,3,2,2,5,6
Wa36,1,1,3,3,1,3,1,3,2,1,5,3,1,1,3,1,1,1,5,1,1,3,3,3,1,6,1,1,1,3,na,3,6,3,6,6,6,3,6,6,2,3,1,6,6,5
Wa53,1,3,2,1,3,6,na,na,1,2,1,na,na,3,3,1,5,6,3,4,6,3,na,5,3,na,3,5,3,6,6,na,6,6,na,6,6,na,1,6,6,6,3,6,6,6
Wa10,6,1,3,6,6,na,na,6,na,6,na,1,6,3,1,na,6,na,6,na,na,na,6,na,na,na,na,na,na,na,na,na,na,na,6,6,6,6,na,na,na,6,6,6,6,na
Wa11,1,3,3,1,3,na,1,1,na,3,na,6,1,3,1,na,1,na,3,na,na,na,6,na,na,6,na,na,na,na,6,6,na,na,6,6,6,6,na,na,na,5,6,6,5,na
Wa13,1,1,1,3,3,1,3,3,2,2,3,1,1,1,1,3,3,3,1,1,3,1,3,5,1,1,3,4,2,1,6,1,6,6,6,3,3,6,3,6,5,6,3,6,5,2
