"Pop","position","variable","value","winlens"
"All",5000.5,"Pi",0,10000
"All",6000.5,"Pi",0,10000
"All",7000.5,"Pi",0,10000
"All",8000.5,"Pi",0.000342547160826808,9731
"All",9000.5,"Pi",0.000362309287885808,9720
"All",10000.5,"Pi",0.000364250432384604,9720
"All",11000.5,"Pi",0.000369962943338205,9720
"All",12000.5,"Pi",0.000371904087837002,9720
"All",13000.5,"Pi",0.000371904087837002,9720
"All",14000.5,"Pi",0.000377727521333391,9720
"All",15000.5,"Pi",0.000381572836150055,9720
"All",16000.5,"Pi",0.000427291410869328,9720
"All",17000.5,"Pi",0.000431136725685992,9720
"All",18000.5,"Pi",8.95684264370952e-05,9989
"All",19000.5,"Pi",7.61398756259453e-05,9773
"All",20000.5,"Pi",7.61398756259453e-05,9773
"All",21000.5,"Pi",7.23889616854254e-05,9773
"All",22000.5,"Pi",7.23889616854254e-05,9773
"All",23000.5,"Pi",0.00012236437389294,9773
"All",24000.5,"Pi",0.000165444723709794,9773
"All",25000.5,"Pi",0.000161620262437107,9773
"All",26000.5,"Pi",0.000136356753837723,9773
"All",27000.5,"Pi",0.000132532292565036,9773
"All",28000.5,"Pi",0.000133223391699407,9725
"All",29000.5,"Pi",0.000128314528617932,9950
"All",30000.5,"Pi",0.000126418254795993,9950
"All",31000.5,"Pi",0.000124521980974053,9950
"All",32000.5,"Pi",0.000123245028905406,9900
"All",33000.5,"Pi",7.76861154219645e-05,9900
"All",34000.5,"Pi",6.59968961855754e-05,9900
"All",35000.5,"Pi",6.98085981104849e-05,9900
"All",36000.5,"Pi",5.36360913719404e-05,9900
"All",37000.5,"Pi",7.00264096490512e-05,9900
"All",38000.5,"Pi",8.21021182418891e-05,9930
"All",39000.5,"Pi",0.000105854425636176,9890
"All",40000.5,"Pi",0.000107762203647126,9890
"All",41000.5,"Pi",0.000124709130125474,9827
"All",42000.5,"Pi",0.00014995653573418,9789
"All",43000.5,"Pi",0.00015958367825403,9783
"All",44000.5,"Pi",0.000172973978221546,9783
"All",45000.5,"Pi",0.00018065181825779,9783
"All",46000.5,"Pi",0.000188145977910392,9783
"All",47000.5,"Pi",0.000188366394370762,9783
"All",48000.5,"Pi",0.000179421661725275,9801
"All",49000.5,"Pi",0.000153238242723432,9841
"All",50000.5,"Pi",0.000153238242723432,9841
"All",51000.5,"Pi",0.000138038877574378,9904
"All",52000.5,"Pi",0.000131356075823081,9992
"All",53000.5,"Pi",0.000134654064685354,9998
"All",54000.5,"Pi",8.72411679101319e-05,9998
"All",55000.5,"Pi",0.000120006031754419,9998
"All",56000.5,"Pi",0.000110821804971956,9998
"All",57000.5,"Pi",9.5310699084284e-05,9900
"All",58000.5,"Pi",9.52017933150009e-05,9900
"All",59000.5,"Pi",9.89934965537379e-05,9902
"All",60000.5,"Pi",0.000102804428593387,9902
"All",61000.5,"Pi",0.000102804428593387,9902
"All",62000.5,"Pi",8.95386933122782e-05,9900
"All",63000.5,"Pi",9.09363173514117e-05,9900
"All",64000.5,"Pi",9.2805866390772e-05,9900
"All",65000.5,"Pi",5.41502767493863e-05,9879
"All",66000.5,"Pi",5.41502767493863e-05,9879
"All",67000.5,"Pi",5.74006648355008e-05,9977
"All",68000.5,"Pi",5.18353038583531e-05,9977
"All",69000.5,"Pi",5.18353038583531e-05,9977
"All",70000.5,"Pi",0.000102121672299118,9977
"All",71000.5,"Pi",0.000104012814378731,9977
"All",72000.5,"Pi",0.000102101204983295,9979
"All",73000.5,"Pi",0.000139754400683484,9979
"All",74000.5,"Pi",0.000141681178273116,9979
"All",75000.5,"Pi",0.000138051828745066,9968
"All",76000.5,"Pi",0.000143694323181891,9968
"All",77000.5,"Pi",0.000141801473610432,9968
"All",78000.5,"Pi",0.000143694323181891,9968
"All",79000.5,"Pi",0.000141801473610432,9968
"All",80000.5,"Pi",8.95407982993918e-05,9968
"All",81000.5,"Pi",8.7647948727933e-05,9968
"All",82000.5,"Pi",8.4168507739741e-05,9936
"All",83000.5,"Pi",3.03107904967353e-05,9936
"All",84000.5,"Pi",2.84118447913909e-05,9936
"All",85000.5,"Pi",3.91369182822588e-05,9968
"All",86000.5,"Pi",5.97954318139437e-05,9911
"All",87000.5,"Pi",5.78916961133785e-05,9911
"All",88000.5,"Pi",6.55597978382161e-05,9892
"All",89000.5,"Pi",6.93745824173309e-05,9892
"All",90000.5,"Pi",6.93745824173309e-05,9892
"All",91000.5,"Pi",6.93745824173309e-05,9892
"All",92000.5,"Pi",6.93465409531363e-05,9896
"All",93000.5,"Pi",6.7555971732355e-05,9879
"All",94000.5,"Pi",6.37361671917534e-05,9879
"All",95000.5,"Pi",5.09125376625907e-05,9879
"All",96000.5,"Pi",3.6857631880875e-05,9936
"All",97000.5,"Pi",5.29353721861242e-05,9936
"All",98000.5,"Pi",4.15346146608525e-05,9955
"All",99000.5,"Pi",3.58486504634738e-05,9955
"All",100000.5,"Pi",3.39894304243309e-05,9955
"All",101000.5,"Pi",3.78123070997091e-05,9918
"All",102000.5,"Pi",3.77058578136854e-05,9946
"All",103000.5,"Pi",4.3322918337832e-05,9963
"All",104000.5,"Pi",5.27558435212983e-05,9963
"All",105000.5,"Pi",8.18390949541859e-05,9918
"All",106000.5,"Pi",7.70378197354878e-05,9918
"All",107000.5,"Pi",0.000112585374373547,9918
"All",108000.5,"Pi",0.000122146597304655,9914
"All",109000.5,"Pi",0.000156747851831229,9914
"All",110000.5,"Pi",0.000158662772529964,9911
"All",111000.5,"Pi",0.000152491066754671,9948
"All",112000.5,"Pi",0.000156946999912384,9906
"All",113000.5,"Pi",0.000152712865193391,9810
"All",114000.5,"Pi",0.000143132820993302,9810
"All",115000.5,"Pi",0.000137464939739429,9855
"All",116000.5,"Pi",0.000134103390001297,9826
"All",117000.5,"Pi",9.82230066407969e-05,9826
"All",118000.5,"Pi",0.000103466020278243,9830
"All",119000.5,"Pi",6.85690887038322e-05,9830
"All",120000.5,"Pi",7.26518312764391e-05,9797
"All",121000.5,"Pi",7.65036072340388e-05,9797
"All",122000.5,"Pi",7.29347259980812e-05,9759
"All",123000.5,"Pi",8.43782960271886e-05,9545
"All",124000.5,"Pi",8.47512191496911e-05,9503
"All",125000.5,"Pi",7.86471998236845e-05,9466
"All",126000.5,"Pi",7.24834132685335e-05,9495
"All",127000.5,"Pi",6.17634703786209e-05,9473
"All",128000.5,"Pi",4.83143608889273e-05,9473
"All",129000.5,"Pi",5.0306118993889e-05,9473
"All",130000.5,"Pi",9.24456397622832e-05,9509
"All",131000.5,"Pi",9.17544174902665e-05,9375
"All",132000.5,"Pi",9.69647210530042e-05,9455
"All",133000.5,"Pi",8.42990878639953e-05,9765
"All",134000.5,"Pi",9.44590856027129e-05,9702
"All",135000.5,"Pi",7.60551194809875e-05,9739
"All",136000.5,"Pi",7.79924769641276e-05,9739
"All",137000.5,"Pi",7.58837013241816e-05,9761
"All",138000.5,"Pi",7.39507103879761e-05,9761
"All",139000.5,"Pi",7.78166922603871e-05,9761
"All",140000.5,"Pi",2.88844074181565e-05,9761
"All",141000.5,"Pi",3.23089324357901e-05,9861
"All",142000.5,"Pi",2.84821553283361e-05,9861
"All",143000.5,"Pi",3.03955438820631e-05,9861
"All",144000.5,"Pi",3.67466817548037e-05,9966
"All",145000.5,"Pi",3.67466817548037e-05,9966
"All",146000.5,"Pi",3.86399111877058e-05,9966
"All",147000.5,"Pi",3.86399111877058e-05,9966
"All",148000.5,"Pi",4.4211414947389e-05,9966
"All",149000.5,"Pi",3.94136495720797e-05,9743
"All",150000.5,"Pi",4.16623694218278e-05,9670
"All",151000.5,"Pi",3.57944668013265e-05,9704
"All",152000.5,"Pi",3.38501217345187e-05,9704
"All",153000.5,"Pi",3.19057766677111e-05,9704
"All",154000.5,"Pi",2.12766903024957e-05,9704
"All",155000.5,"Pi",2.13426713557389e-05,9674
"All",156000.5,"Pi",1.74455287054191e-05,9672
"All",157000.5,"Pi",1.74455287054191e-05,9672
"All",158000.5,"Pi",1.36554457917818e-05,9672
"All",159000.5,"Pi",1.33476979987987e-05,9895
"All",160000.5,"Pi",2.21733806942323e-05,9968
"All",161000.5,"Pi",2.9750748231318e-05,9966
"All",162000.5,"Pi",3.16439776642201e-05,9966
"All",163000.5,"Pi",3.35372070971221e-05,9966
"All",164000.5,"Pi",3.35011455841145e-05,9966
"All",165000.5,"Pi",3.34006019299004e-05,9996
"All",166000.5,"Pi",3.90194840405637e-05,9998
"All",167000.5,"Pi",3.55043780736476e-05,9925
